STT,Loại vàng,Màu xi,Số lượng,Sản phẩm,Trọng lượng (Ban đầu),Trọng lượng (Sau xi),Số món Thêm/bớt (Sau xi),Trọng lượng Tăng/giảm (Sau xi),Lý do Tăng/giảm (Sau xi),Chi phí (1000 VNĐ),Số món Thêm/bớt (Nhập hàng),Trọng lượng  Tăng/giảm (Nhập hàng),Lý do Tăng/giảm (Nhập hàng),"Trọng lượng   (Thay khóa, phụ kiện,...)","Ghi chú  (Thay khóa, phụ kiện,...)"
1,610,Xi 2-3 màu,4,Nhẫn,4c97,4c924,,,,140,,,,,
2,610,Xi 2-3 màu,2,Mặt,4c468,4c46,,,,125,,,,,
3,610,Xi 2-3 màu,1,Bông,5p08,5p08,,,,40,,,,,
4,610,Xi 2-3 màu,6,Lắc,10c04,9c996,,,,680,,,,,
5,610,Xi 2-3 màu,5,Dây,14c776,14c708,,,,740,,,,,
6,750,Xi hồng,2,Nhẫn cưới xoàn,2c39,2c37,,,,20,,,,,
7,416,Xi trắng,21,Nhẫn,26c71,26c376,,,,605,,,,,
8,416,Xi trắng,15,Mặt,6c892,6c88,,,,460,,,,,
9,416,Xi trắng,7,Lắc,6c12,6c048,,,,390,-1.0,-2p3,,,
10,416,Xi trắng,1,Vòng,1c776,1c774,,,,70,,,,,
11,416,Xi trắng,21,Bông,10c07,10c044,,,,420,,,,,
12,416,Xi trắng,14,Dây,19c646,19c616,,,,985,-1.0,-5p88,,,
13,Ý,Xi trắng,22,Nhẫn,28c724,28c502,,,,560,-2.0,-3c668,,,
14,Ý,Xi trắng,1,Vòng,3c18,3c18,,,,70,,,,,
15,Ý,Xi trắng,12,Mặt,7c136,7c128,,,,255,,,,,
16,Ý,Xi trắng,7,Kiềng,13c208,13c148,,,,560,,,,,
17,Ý,Xi trắng,23,Bông,14c444,14c418,,,,0,,,,,
18,Ý,Xi trắng,19,Dây,27c252,27c122,,,,1155,,,,,
19,Ý,Xi hồng,1,Vòng,2c092,2c088,,,,15,,,,,
20,Ý,Xi hồng,1,Dây,1c322,1c32,,,,15,,,,,
